Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154
354990405000001;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;161;158;140;137;3;18;6;12;0;140;3;0;3;359;151;208;359;347;12;0;0;151;147;4;0;0;208;200;8;0;0;7;3;3;4;3;0;5;4;4;1;1;2;2;3;6;4;4;5;3;4;5;8;1;7;7;29;23;17;13;26;39;21;23;24;13;10;14;8;3;0;0;1;1;3;1;1;0;0;2;1;1;1;0;2;2;3;2;2;1;2;2;4;4;1;3;3;16;10;8;7;14;16;6;10;9;5;3;3;1;0;0;0;6;2;0;3;2;0;5;2;3;0;0;2;0;1;3;2;2;4;1;2;1;4;0;4;4;13;13;9;6;12;23;15;13;15;8;7;11;7;3;0;0
354990405000002;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;141;134;110;109;1;24;6;18;0;110;7;2;5;319;153;166;317;312;5;0;2;153;151;2;0;0;164;161;3;0;2;1;2;2;0;2;2;3;3;4;4;7;5;2;6;6;6;7;5;5;1;4;1;2;8;7;19;21;22;27;28;19;23;14;7;11;13;12;6;1;0;1;0;1;1;0;1;2;2;1;3;1;3;4;1;2;4;3;3;2;3;0;4;0;0;6;3;10;14;10;13;10;10;10;7;2;5;6;4;1;0;0;1;1;1;1;0;1;0;1;2;1;3;4;1;1;4;2;3;4;3;2;1;0;1;2;2;4;9;7;12;14;18;9;13;7;5;6;7;8;5;1;0;0
354990405000003;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;179;175;145;143;2;30;10;20;0;145;4;3;1;542;236;306;529;521;8;0;13;231;227;4;0;5;298;294;4;0;8;5;6;3;3;3;7;10;5;7;9;5;13;10;8;9;6;5;4;9;9;11;11;8;9;8;40;40;36;34;32;41;30;31;14;15;15;14;13;3;1;0;2;2;3;1;1;3;6;4;4;3;1;5;2;6;3;3;2;2;3;3;6;9;2;3;5;18;15;17;10;16;24;14;13;6;4;6;3;3;3;0;0;3;4;0;2;2;4;4;1;3;6;4;8;8;2;6;3;3;2;6;6;5;2;6;6;3;22;25;19;24;16;17;16;18;8;11;9;11;10;0;1;0
354990405000004;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;1;X;X;X;X;X;X;X;X;0;X;X;X;42;10;32;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
354990405000005;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;139;139;125;123;2;14;0;14;0;125;0;0;0;435;215;220;435;429;6;0;0;215;212;3;0;0;220;217;3;0;0;3;6;4;7;5;7;4;6;6;9;10;6;9;4;7;5;14;6;10;3;10;12;9;5;4;37;42;24;28;18;26;31;21;15;6;7;3;5;1;0;0;2;2;4;6;4;3;4;3;3;7;4;2;6;2;3;2;7;4;5;0;4;8;7;2;1;19;22;9;9;6;14;17;10;6;3;3;1;1;0;0;0;1;4;0;1;1;4;0;3;3;2;6;4;3;2;4;3;7;2;5;3;6;4;2;3;3;18;20;15;19;12;12;14;11;9;3;4;2;4;1;0;0
354990405000006;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;167;167;138;128;10;29;3;26;0;138;0;0;0;389;176;213;389;356;33;0;0;176;163;13;0;0;213;193;20;0;0;2;5;2;4;3;3;1;4;1;4;2;4;5;3;4;4;3;9;9;9;7;12;10;6;6;35;33;23;27;29;17;23;20;23;14;11;8;2;1;1;0;0;2;0;1;2;1;0;2;0;1;1;1;4;1;2;3;2;6;7;6;6;7;8;2;3;17;15;13;10;15;5;8;5;9;4;4;2;0;1;0;0;2;3;2;3;1;2;1;2;1;3;1;3;1;2;2;1;1;3;2;3;1;5;2;4;3;18;18;10;17;14;12;15;15;14;10;7;6;2;0;1;0
354990405000007;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;173;170;139;139;0;31;8;23;0;139;3;1;2;470;205;265;448;448;0;0;22;197;197;0;0;8;251;251;0;0;14;6;4;5;6;6;0;6;4;12;5;9;11;8;9;8;5;4;9;3;9;7;6;12;5;5;37;29;26;32;31;45;27;10;10;10;16;15;12;4;2;0;4;1;3;2;3;0;4;2;5;5;4;7;6;3;3;2;3;4;0;5;3;1;5;4;3;20;12;13;15;13;16;8;4;4;3;5;5;3;1;1;0;2;3;2;4;3;0;2;2;7;0;5;4;2;6;5;3;1;5;3;4;4;5;7;1;2;17;17;13;17;18;29;19;6;6;7;11;10;9;3;1;0
354990405000008;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;55;51;30;29;1;21;2;19;0;30;4;1;3;92;40;52;89;87;2;0;3;40;39;1;0;0;49;48;1;0;3;0;0;2;1;0;1;0;2;2;0;3;1;0;0;0;2;1;2;2;2;0;0;2;0;2;5;8;9;3;6;5;6;7;7;3;0;3;3;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;2;0;0;1;0;1;0;6;6;1;3;2;3;3;3;2;0;1;0;0;0;0;0;0;2;1;0;0;0;2;1;0;2;1;0;0;0;2;0;1;1;0;0;0;1;0;1;5;2;3;2;3;3;3;4;4;1;0;2;3;1;1;0
354990405000009;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;260;257;200;192;8;57;11;46;0;200;3;1;2;510;203;307;509;474;35;0;1;202;188;14;0;1;307;286;21;0;0;3;3;2;0;3;2;4;3;4;3;4;6;3;5;11;8;9;7;5;8;7;5;9;7;10;34;46;31;28;22;32;32;37;26;24;37;15;11;3;1;0;1;0;1;0;1;2;2;3;1;3;1;2;2;1;2;4;4;3;3;5;4;4;3;2;4;17;15;14;12;12;11;17;9;12;9;14;2;0;1;0;0;2;3;1;0;2;0;2;0;3;0;3;4;1;4;9;4;5;4;2;3;3;1;6;5;6;17;31;17;16;10;21;15;28;14;15;23;13;11;2;1;0
354990405000010;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;171;167;142;142;0;25;8;17;0;142;4;3;1;405;195;210;390;390;0;0;15;180;180;0;0;15;210;210;0;0;0;1;4;4;2;6;2;3;1;4;3;3;2;1;5;1;4;3;3;6;7;4;7;5;8;10;36;32;17;34;31;27;34;28;16;17;10;10;8;3;3;0;1;1;2;1;4;0;0;1;4;2;2;2;1;2;1;3;1;0;1;4;3;4;2;5;6;19;14;5;18;18;16;14;16;7;5;5;3;1;1;0;0;0;3;2;1;2;2;3;0;0;1;1;0;0;3;0;1;2;3;5;3;1;3;3;3;4;17;18;12;16;13;11;20;12;9;12;5;7;7;2;3;0
